,Temperature,L,R,A_M,Color,Spectral_Class,Type
0,3068,9.1872e+23,118236700.00000001,16.12,Red,M,Red Dwarf
1,3042,1.914e+23,107247642.00000001,16.6,Red,M,Red Dwarf
2,2600,1.1484e+23,70942020.0,18.7,Red,M,Red Dwarf
3,2800,7.656e+22,111281600.0,16.65,Red,M,Red Dwarf
4,1939,5.28264e+22,71637530.0,20.06,Red,M,Red Dwarf
5,2840,2.4882e+23,76506100.0,16.98,Red,M,Red Dwarf
6,2637,2.7944399999999997e+23,88329770.0,17.22,Red,M,Red Dwarf
7,2600,1.5312e+23,66768960.0,17.4,Red,M,Red Dwarf
8,2650,2.6413200000000002e+23,76506100.0,17.45,Red,M,Red Dwarf
9,2700,6.890400000000001e+22,90416300.0,16.05,Red,M,Red Dwarf
10,3600,1.1101199999999999e+24,354710100.0,10.69,Red,M,Brown Dwarf
11,3129,4.6701600000000004e+24,261581311.0,11.79,Red,M,Brown Dwarf
12,3134,1.5312e+23,136319960.0,13.21,Red,M,Brown Dwarf
13,3628,2.1053999999999998e+24,273335430.0,10.48,Red,M,Brown Dwarf
14,2650,2.2968e+23,97371400.00000001,11.782,Red,M,Brown Dwarf
15,3340,1.45464e+24,166922399.99999997,13.07,Red,M,Brown Dwarf
16,2799,6.8904e+23,111281600.0,14.79,Red,M,Brown Dwarf
17,3692,1.404876e+24,326889700.0,10.8,Red,M,Brown Dwarf
18,3192,1.385736e+24,136806817.0,13.53,Red,M,Brown Dwarf
19,3441,1.4929199999999998e+25,244124010.0,11.18,Red,M,Brown Dwarf
20,25000,2.1436800000000002e+25,5842284.0,10.58,Blue-White,B,White Dwarf
21,7740,1.87572e+23,8582593.4,14.02,White,A,White Dwarf
22,7220,6.5076e+22,7650609.999999999,14.23,White,F,White Dwarf
23,8500,1.914e+23,6955100.0,14.5,White,A,White Dwarf
24,16500,4.9764e+24,9737140.0,11.89,Blue-White,B,White Dwarf
25,12990,3.2538e+22,6843818.4,12.23,Yellow-White,F,White Dwarf
26,8570,3.10068e+23,6746447.0,14.2,Blue-White,A,White Dwarf
27,7700,4.2108e+22,8902528.0,14.47,Yellow-White,F,White Dwarf
28,11790,5.742e+22,7650609.999999999,12.59,Yellow-White,F,White Dwarf
29,7230,3.0624e+22,9041630.0,14.08,Yellow-Orange,F,White Dwarf
30,39000,7.8091200000000005e+31,7372405999.999999,-4.7,Blue,O,Main Sequence
31,30000,1.1039952e+31,4381713000.0,-4.2,Blue-White,B,Main Sequence
32,15276,4.3486080000000004e+29,5007672000.0,-1.97,Blue-White,B,Main Sequence
33,9700,2.83272e+28,2010023900.0000002,0.16,White,B,Main Sequence
34,5800,3.10068e+26,625959000.0,5.05,Yellow-White,F,Main Sequence
35,8052,3.3303599999999997e+27,1251918000.0,2.42,White,A,Main Sequence
36,6757,5.47404e+26,778971200.0000001,2.41,Yellow-White,F,Main Sequence
37,6380,5.1678e+26,681599800.0,2.93,Yellow-White,F,Main Sequence
38,5936,5.1945960000000003e+26,769234060.0,4.46,Yellow-White,F,Main Sequence
39,5587,3.135132e+26,688554900.0,5.03,Yellow-White,F,Main Sequence
40,3826,7.6560000000000005e+31,13214689999.999998,-6.93,Red,M,Super Giants
41,3365,1.30152e+32,15996730000.0,-6.2,Red,M,Super Giants
42,3270,5.742e+31,61204880000.0,-6.02,Red,M,Super Giants
43,3200,7.4646e+31,11823670000.0,-7.22,Red,M,Super Giants
44,3008,1.07184e+32,17387750000.0,-6.0,Red,M,Super Giants
45,3600,1.22496e+32,20169790000.0,-6.6,Red,M,Super Giants
46,3575,4.70844e+31,31297949999.999996,-6.78,Red,M,Super Giants
47,3574,7.6560000000000005e+31,61900389999.99999,-5.24,Red,M,Super Giants
